2020/05/31 06:16:00 HEAD http://34.94.213.246:9200/around [status:200, request:0.032s]
2020/05/31 06:39:03 HEAD http://34.94.213.246:9200/around [status:200, request:0.008s]
2020/05/31 06:40:44 HEAD http://34.94.213.246:9200/around [status:200, request:0.009s]
2020/05/31 06:55:32 HEAD http://34.94.213.246:9200/around [status:200, request:0.008s]
2020/05/31 07:41:49 HEAD http://34.94.213.246:9200/around [status:404, request:0.010s]
2020/05/31 07:41:49 PUT http://34.94.213.246:9200/around [status:200, request:0.107s]
2020/05/31 08:05:25 HEAD http://34.94.213.246:9200/around [status:200, request:0.008s]
2020/05/31 08:10:59 HEAD http://34.94.213.246:9200/around [status:200, request:0.008s]
2020/05/31 13:55:11 HEAD http://34.94.213.246:9200/around [status:200, request:0.011s]
2020/05/31 14:04:33 HEAD http://34.94.213.246:9200/around [status:404, request:0.030s]
2020/05/31 14:05:26 HEAD http://34.94.213.246:9200/around [status:404, request:0.010s]
2020/05/31 14:15:51 HEAD http://34.94.213.246:9200/around [status:404, request:0.010s]
2020/05/31 14:28:05 HEAD http://34.94.213.246:9200/around [status:404, request:0.010s]
2020/05/31 15:13:01 HEAD http://34.94.213.246:9200/around [status:404, request:0.010s]
2020/05/31 15:35:40 HEAD http://34.94.213.246:9200/around [status:404, request:0.014s]
2020/05/31 15:35:41 PUT http://34.94.213.246:9200/around [status:200, request:0.666s]
2020/05/31 15:44:27 HEAD http://34.94.213.246:9200/around [status:200, request:0.010s]
2020/05/31 15:57:48 HEAD http://34.94.213.246:9200/around [status:200, request:0.010s]
2020/05/31 16:00:04 HEAD http://34.94.213.246:9200/around [status:404, request:0.009s]
2020/05/31 16:00:05 PUT http://34.94.213.246:9200/around [status:200, request:0.494s]
